number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user
1,346f7c68-25f1-41b1-a84a-691283aca451,community_05,Amina,Balogun,male,1994-07-28,,08055002657,https://www.commcarehq.org/photos/farmer_1.jpg,8,mixed_farming,13,leased,1,rain-fed,---,groundnuts,2.9,---,---,goats,4,---,10.3435918 7.3375823 0.0 20.0,yes,f7e53cdf-eb5c-4997-a5d4-1d574b288dbc,2026-01-12 00:07:00,2026-01-12,tester,2026-01-12 00:07:19,https://www.commcarehq.org/form/346f7c68-25f1-41b1-a84a-691283aca451,tester
2,44b0d9cf-c9a1-4594-9653-330cb182424f,community_04,Elizabeth,David,male,1987-01-07,21616047600,08002202126,https://www.commcarehq.org/photos/farmer_2.jpg,5,mixed_farming,21,owned,6,rain-fed,---,maize rice,---,6.4,2.7,---,---,---,10.5371408 7.5104 0.0 20.0,yes,38b9e706-03dd-4b32-99aa-01f081aaa85f,2026-01-09 00:08:00,2026-01-09,tester,2026-01-09 00:08:15,https://www.commcarehq.org/form/44b0d9cf-c9a1-4594-9653-330cb182424f,tester
3,5e65c92b-1881-4dc4-ad61-3989f4023103,community_03,Fatima,Daniel,female,1981-03-26,,08039422525,https://www.commcarehq.org/photos/farmer_3.jpg,7,livestock_farming,17,owned,1,rain-fed,---,rice,---,---,2.0,goats,14,---,10.38722 7.3005656 0.0 20.0,yes,cc529988-9805-4d7f-ba1e-0a8fa58aef11,2026-01-03 00:07:00,2026-01-03,tester,2026-01-03 00:07:08,https://www.commcarehq.org/form/5e65c92b-1881-4dc4-ad61-3989f4023103,tester
4,48b834f9-b1ee-432f-a6a8-84983620e30d,community_05,Mercy,Lawal,male,1985-02-11,11948728483,08098251982,https://www.commcarehq.org/photos/farmer_4.jpg,8,crop_farming,6,owned,3,rain-fed,---,groundnuts rice,2.8,---,3.6,---,---,---,10.2231701 7.5512038 0.0 20.0,yes,6f87361a-4eff-4826-bfd7-809239dcda2d,2026-01-22 00:07:00,2026-01-22,tester,2026-01-22 00:07:20,https://www.commcarehq.org/form/48b834f9-b1ee-432f-a6a8-84983620e30d,tester
5,9c0fcd71-8f03-4821-ad0b-f25807f971fe,community_06,Emmanuel,Sani,female,2000-09-29,68439875878,08099767363,https://www.commcarehq.org/photos/farmer_5.jpg,7,crop_farming,1,owned,1,rain-fed,---,rice groundnuts maize,0.7,0.7,1.7,---,---,---,10.3941658 7.4156936 0.0 20.0,yes,dd104e96-6f32-4cfd-a375-171f675fb97f,2026-05-27 00:06:00,2026-05-27,tester,2026-05-27 00:06:20,https://www.commcarehq.org/form/9c0fcd71-8f03-4821-ad0b-f25807f971fe,tester
6,2407a003-943c-43d4-896b-0e5adf131d2f,community_02,Ruth,Abdullahi,male,1997-11-30,71895212988,08080660781,https://www.commcarehq.org/photos/farmer_6.jpg,4,crop_farming,5,owned,1,river_stream,---,groundnuts rice maize,2.9,6.1,3.5,goats,17,---,10.5458602 7.5609771 0.0 20.0,yes,f97317aa-aecf-4162-ac4c-15f24bb7dae9,2026-01-01 00:05:00,2026-01-01,tester,2026-01-01 00:05:13,https://www.commcarehq.org/form/2407a003-943c-43d4-896b-0e5adf131d2f,tester
7,66c3050e-4e69-4474-a849-d134bd2c86f0,community_07,Paul,Ali,male,1977-08-09,,08012955705,https://www.commcarehq.org/photos/farmer_7.jpg,7,crop_farming,17,owned,4,borehole,---,maize,---,1.2,---,---,---,---,10.4378077 7.4477526 0.0 20.0,yes,9a436f1c-ed80-4699-ab32-07359702f1a4,2026-05-30 00:06:00,2026-05-30,tester,2026-05-30 00:06:15,https://www.commcarehq.org/form/66c3050e-4e69-4474-a849-d134bd2c86f0,tester
8,951f046d-322d-41d3-9578-0539e88ecdbc,community_07,John,Adeyemi,female,1990-05-04,,08023704990,https://www.commcarehq.org/photos/farmer_8.jpg,4,crop_farming,3,leased,2,rain-fed,---,rice maize groundnuts,2.2,3.8,3.8,goats,6,---,10.5558851 7.4969667 0.0 20.0,yes,8db11d8b-80ce-47d8-9639-ea9cc3b7df03,2026-03-14 00:06:00,2026-03-14,tester,2026-03-14 00:06:11,https://www.commcarehq.org/form/951f046d-322d-41d3-9578-0539e88ecdbc,tester
9,91540947-3db4-43df-9bf0-a6b5dfb3fa2f,community_05,John,Adeyemi,female,1989-03-04,,08080420762,https://www.commcarehq.org/photos/farmer_9.jpg,8,mixed_farming,4,owned,3,rain-fed,---,rice groundnuts,1.6,---,0.6,goats,3,---,10.2840306 7.2998119 0.0 20.0,yes,bbf4bf7b-5a93-4c73-b50b-9e9f69ae815f,2026-05-24 00:08:00,2026-05-24,tester,2026-05-24 00:08:18,https://www.commcarehq.org/form/91540947-3db4-43df-9bf0-a6b5dfb3fa2f,tester
10,34aea256-0205-4622-8803-ca0a645d01f4,community_07,Suleiman,Peter,female,1994-04-10,,08007398882,https://www.commcarehq.org/photos/farmer_10.jpg,1,crop_farming,14,leased,2,borehole,---,groundnuts,0.6,---,---,goats,12,---,10.2277683 7.5093307 0.0 20.0,yes,ea9dd9c7-768a-49fd-b99c-e512afdc29ad,2026-05-11 00:05:00,2026-05-11,tester,2026-05-11 00:05:15,https://www.commcarehq.org/form/34aea256-0205-4622-8803-ca0a645d01f4,tester
