number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user
1,3469394f-3412-477e-9976-64b8cf565ea9,community_05,Amina,Balogun,male,1994-07-28,,08055002657,https://www.commcarehq.org/photos/farmer_1.jpg,8,mixed_farming,13,leased,1,rain-fed,---,groundnuts,2.9,---,---,goats,4,---,10.3435918 7.3375823 0.0 20.0,yes,72ac2d77-701e-4fd5-b977-d5cf4ce46ab3,2026-01-12 00:07:00,2026-01-12,tester,2026-01-12 00:07:19,https://www.commcarehq.org/form/3469394f-3412-477e-9976-64b8cf565ea9,tester
2,3f7ce62e-99b6-4cd3-adfa-e404dcde0ce3,community_04,Elizabeth,David,male,1987-01-07,21616047600,08002202126,https://www.commcarehq.org/photos/farmer_2.jpg,5,mixed_farming,21,owned,6,rain-fed,---,maize rice,---,6.4,2.7,---,---,---,10.5371408 7.5104 0.0 20.0,yes,163ada83-f1bb-4c8d-a37f-10f19811d98f,2026-01-09 00:08:00,2026-01-09,tester,2026-01-09 00:08:15,https://www.commcarehq.org/form/3f7ce62e-99b6-4cd3-adfa-e404dcde0ce3,tester
3,4cc8e2ba-fc5e-4346-8a34-d824d417bb66,community_03,Fatima,Daniel,female,1981-03-26,,08039422525,https://www.commcarehq.org/photos/farmer_3.jpg,7,livestock_farming,17,owned,1,rain-fed,---,rice,---,---,2.0,goats,14,---,10.38722 7.3005656 0.0 20.0,yes,53e3a95f-c6b7-408d-8489-f9c9692dc77a,2026-01-03 00:07:00,2026-01-03,tester,2026-01-03 00:07:08,https://www.commcarehq.org/form/4cc8e2ba-fc5e-4346-8a34-d824d417bb66,tester
4,7e81bf2c-71f7-4d0b-b50d-56e7f8b1824c,community_05,Mercy,Lawal,male,1985-02-11,11948728483,08098251982,https://www.commcarehq.org/photos/farmer_4.jpg,8,crop_farming,6,owned,3,rain-fed,---,groundnuts rice,2.8,---,3.6,---,---,---,10.2231701 7.5512038 0.0 20.0,yes,63705ef2-dc24-4070-9287-85d7b1ec91e4,2026-01-22 00:07:00,2026-01-22,tester,2026-01-22 00:07:20,https://www.commcarehq.org/form/7e81bf2c-71f7-4d0b-b50d-56e7f8b1824c,tester
5,26c40605-8bf2-435c-9360-4785074f96b7,community_06,Emmanuel,Sani,female,2000-09-29,68439875878,08099767363,https://www.commcarehq.org/photos/farmer_5.jpg,7,crop_farming,1,owned,1,rain-fed,---,rice groundnuts maize,0.7,0.7,1.7,---,---,---,10.3941658 7.4156936 0.0 20.0,yes,599dafba-29c4-4fa5-9ac0-c28b08e54772,2026-05-27 00:06:00,2026-05-27,tester,2026-05-27 00:06:20,https://www.commcarehq.org/form/26c40605-8bf2-435c-9360-4785074f96b7,tester
6,e7f064dc-ca27-4538-8fa5-edc2351babd9,community_02,Ruth,Abdullahi,male,1997-11-30,71895212988,08080660781,https://www.commcarehq.org/photos/farmer_6.jpg,4,crop_farming,5,owned,1,river_stream,---,groundnuts rice maize,2.9,6.1,3.5,goats,17,---,10.5458602 7.5609771 0.0 20.0,yes,52ff519a-5c36-4849-be27-e724307dbfaf,2026-01-01 00:05:00,2026-01-01,tester,2026-01-01 00:05:13,https://www.commcarehq.org/form/e7f064dc-ca27-4538-8fa5-edc2351babd9,tester
7,0bcd54c3-2b63-4f40-8c23-d0addf95fcf0,community_07,Paul,Ali,male,1977-08-09,,08012955705,https://www.commcarehq.org/photos/farmer_7.jpg,7,crop_farming,17,owned,4,borehole,---,maize,---,1.2,---,---,---,---,10.4378077 7.4477526 0.0 20.0,yes,89e15aaa-0ab9-491e-aea5-d68ace17f225,2026-05-30 00:06:00,2026-05-30,tester,2026-05-30 00:06:15,https://www.commcarehq.org/form/0bcd54c3-2b63-4f40-8c23-d0addf95fcf0,tester
8,8f85ef45-a602-453a-848c-3c3cee4e9f28,community_07,John,Adeyemi,female,1990-05-04,,08023704990,https://www.commcarehq.org/photos/farmer_8.jpg,4,crop_farming,3,leased,2,rain-fed,---,rice maize groundnuts,2.2,3.8,3.8,goats,6,---,10.5558851 7.4969667 0.0 20.0,yes,74bdcb4e-64bd-49f7-955d-06ae85da5c2c,2026-03-14 00:06:00,2026-03-14,tester,2026-03-14 00:06:11,https://www.commcarehq.org/form/8f85ef45-a602-453a-848c-3c3cee4e9f28,tester
9,c28012ec-4e64-4184-9aa4-88880c32c0e4,community_05,John,Adeyemi,female,1989-03-04,,08080420762,https://www.commcarehq.org/photos/farmer_9.jpg,8,mixed_farming,4,owned,3,rain-fed,---,rice groundnuts,1.6,---,0.6,goats,3,---,10.2840306 7.2998119 0.0 20.0,yes,17e5aa5e-554a-4aa7-9dc4-69d7eb601ee8,2026-05-24 00:08:00,2026-05-24,tester,2026-05-24 00:08:18,https://www.commcarehq.org/form/c28012ec-4e64-4184-9aa4-88880c32c0e4,tester
10,77f558a2-e412-4e55-9a72-88ab4ae801b4,community_07,Suleiman,Peter,female,1994-04-10,,08007398882,https://www.commcarehq.org/photos/farmer_10.jpg,1,crop_farming,14,leased,2,borehole,---,groundnuts,0.6,---,---,goats,12,---,10.2277683 7.5093307 0.0 20.0,yes,171005bf-515b-46fa-be66-dbe47830b623,2026-05-11 00:05:00,2026-05-11,tester,2026-05-11 00:05:15,https://www.commcarehq.org/form/77f558a2-e412-4e55-9a72-88ab4ae801b4,tester
