number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid
1,504b273b-1c39-4521-bc2c-537b609fed58,community_05,Amina,Balogun,male,1994-07-28,,08055002657,https://www.commcarehq.org/photos/farmer_1.jpg,8,mixed_farming,13,leased,1,rain-fed,---,groundnuts,2.9,---,---,goats,4,---,10.3435918 7.3375823 0.0 20.0,yes,c39e0858-e6f4-4ee0-846e-152e4bfecf8b,2026-01-12 00:07:00,2026-01-12,tester,2026-01-12 00:07:19,https://www.commcarehq.org/form/504b273b-1c39-4521-bc2c-537b609fed58,tester,True
2,4dd0e615-baa3-453b-a6b0-6e639fbd99d9,community_04,Elizabeth,David,male,1987-01-07,21616047600.0,08002202126,https://www.commcarehq.org/photos/farmer_2.jpg,5,mixed_farming,21,owned,6,rain-fed,---,maize rice,---,6.4,2.7,---,---,---,10.5371408 7.5104 0.0 20.0,yes,c30fc189-b791-4f63-b2d6-49a72c4fe71d,2026-01-09 00:08:00,2026-01-09,tester,2026-01-09 00:08:15,https://www.commcarehq.org/form/4dd0e615-baa3-453b-a6b0-6e639fbd99d9,tester,True
3,1dcc0533-97d8-44d0-a82f-c9326eb83590,community_03,Fatima,Daniel,female,1981-03-26,,08039422525,https://www.commcarehq.org/photos/farmer_3.jpg,7,livestock_farming,17,owned,1,rain-fed,---,rice,---,---,2.0,goats,14,---,10.38722 7.3005656 0.0 20.0,yes,10a9512f-dd34-4978-8957-ac16b014c195,2026-01-03 00:07:00,2026-01-03,tester,2026-01-03 00:07:08,https://www.commcarehq.org/form/1dcc0533-97d8-44d0-a82f-c9326eb83590,tester,True
4,4157fc06-ce3d-49f3-8ee3-56ff8232ace5,community_05,Mercy,Lawal,male,1985-02-11,11948728483.0,08098251982,https://www.commcarehq.org/photos/farmer_4.jpg,8,crop_farming,6,owned,3,rain-fed,---,groundnuts rice,2.8,---,3.6,---,---,---,10.2231701 7.5512038 0.0 20.0,yes,ba5dee4f-67a1-416d-8d06-f4ad5da62772,2026-01-22 00:07:00,2026-01-22,tester,2026-01-22 00:07:20,https://www.commcarehq.org/form/4157fc06-ce3d-49f3-8ee3-56ff8232ace5,tester,True
5,cde677db-aeaa-4c39-b995-c361dd8d4e93,community_06,Emmanuel,Sani,female,2000-09-29,68439875878.0,08099767363,https://www.commcarehq.org/photos/farmer_5.jpg,7,crop_farming,1,owned,1,rain-fed,---,rice groundnuts maize,0.7,0.7,1.7,---,---,---,10.3941658 7.4156936 0.0 20.0,yes,86b635ee-2517-4b6b-a599-c18c5409623e,2026-05-27 00:06:00,2026-05-27,tester,2026-05-27 00:06:20,https://www.commcarehq.org/form/cde677db-aeaa-4c39-b995-c361dd8d4e93,tester,True
6,2807fab7-64e7-4172-896f-44a911032d0c,community_02,Ruth,Abdullahi,male,1997-11-30,71895212988.0,08080660781,https://www.commcarehq.org/photos/farmer_6.jpg,4,crop_farming,5,owned,1,river_stream,---,groundnuts rice maize,2.9,6.1,3.5,goats,17,---,10.5458602 7.5609771 0.0 20.0,yes,62a5ae93-6c9e-4392-a560-30cde2f92f97,2026-01-01 00:05:00,2026-01-01,tester,2026-01-01 00:05:13,https://www.commcarehq.org/form/2807fab7-64e7-4172-896f-44a911032d0c,tester,True
7,5d9b5a60-17da-4181-94eb-e5851b440db7,community_07,Paul,Ali,male,1977-08-09,,08012955705,https://www.commcarehq.org/photos/farmer_7.jpg,7,crop_farming,17,owned,4,borehole,---,maize,---,1.2,---,---,---,---,10.4378077 7.4477526 0.0 20.0,yes,b8906c5d-ae97-4715-9856-b28644ad25ad,2026-05-30 00:06:00,2026-05-30,tester,2026-05-30 00:06:15,https://www.commcarehq.org/form/5d9b5a60-17da-4181-94eb-e5851b440db7,tester,True
8,b63e5c48-dded-457c-8902-f1ee139e19ec,community_07,John,Adeyemi,female,1990-05-04,,08023704990,https://www.commcarehq.org/photos/farmer_8.jpg,4,crop_farming,3,leased,2,rain-fed,---,rice maize groundnuts,2.2,3.8,3.8,goats,6,---,10.5558851 7.4969667 0.0 20.0,yes,e2f688f3-6d9a-46b3-a040-4c4f2a822ab9,2026-03-14 00:06:00,2026-03-14,tester,2026-03-14 00:06:11,https://www.commcarehq.org/form/b63e5c48-dded-457c-8902-f1ee139e19ec,tester,True
9,30a17e68-8bb2-4251-bce4-c10c3b2bd2d3,community_05,John,Adeyemi,female,1989-03-04,,08080420762,https://www.commcarehq.org/photos/farmer_9.jpg,8,mixed_farming,4,owned,3,rain-fed,---,rice groundnuts,1.6,---,0.6,goats,3,---,10.2840306 7.2998119 0.0 20.0,yes,ae09330c-798d-4279-aba0-6adcd695d482,2026-05-24 00:08:00,2026-05-24,tester,2026-05-24 00:08:18,https://www.commcarehq.org/form/30a17e68-8bb2-4251-bce4-c10c3b2bd2d3,tester,True
10,10a18aeb-1a17-437d-bcf8-6059bd3370a5,community_07,Suleiman,Peter,female,1994-04-10,,08007398882,https://www.commcarehq.org/photos/farmer_10.jpg,1,crop_farming,14,leased,2,borehole,---,groundnuts,0.6,---,---,goats,12,---,10.2277683 7.5093307 0.0 20.0,yes,0bc038b7-b91f-47e4-bb56-d0de7b2076e7,2026-05-11 00:05:00,2026-05-11,tester,2026-05-11 00:05:15,https://www.commcarehq.org/form/10a18aeb-1a17-437d-bcf8-6059bd3370a5,tester,True
11,c30c2a5a-ef0e-4809-a575-900197872e46,community_07,Mary,Michael,female,2004-06-17,59111077388.0,08073653527,https://www.commcarehq.org/photos/farmer_11.jpg,3,mixed_farming,2,owned,1,irrigation_scheme,---,maize groundnuts rice,1.8,4.5,1.6,---,---,---,10.276736 7.4659718 0.0 20.0,yes,3d498f69-0b1e-480d-8d20-0839027d43e4,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:14,https://www.commcarehq.org/form/c30c2a5a-ef0e-4809-a575-900197872e46,tester,True
12,da4bb7e7-adc3-4f4e-bc46-e6419e3f62cf,community_03,Joy,Yusuf,male,1986-09-04,,08044249710,https://www.commcarehq.org/photos/farmer_12.jpg,7,crop_farming,8,family_land,1,rain-fed,---,groundnuts,3.0,---,---,---,---,---,10.3821665 7.5544548 0.0 20.0,yes,cd99a9c0-2d78-4c70-b0ce-12609330c483,2026-06-28 00:05:00,2026-06-28,tester,2026-06-28 00:05:20,https://www.commcarehq.org/form/da4bb7e7-adc3-4f4e-bc46-e6419e3f62cf,tester,True
13,ce86b6f4-4de7-42ea-a08e-120deb92920e,community_03,Sarah,Ojo,female,1962-12-12,81708395052.0,08045911455,https://www.commcarehq.org/photos/farmer_13.jpg,5,mixed_farming,33,owned,3,rain-fed,---,maize rice,---,5.0,3.4,goats,18,---,10.2956983 7.375949 0.0 20.0,yes,78e9fb0d-fa88-4db6-a4c4-61c6f12919a1,2026-03-02 00:04:00,2026-03-02,tester,2026-03-02 00:04:15,https://www.commcarehq.org/form/ce86b6f4-4de7-42ea-a08e-120deb92920e,tester,True
14,199d4caa-9656-4eba-873c-35581b76cb56,community_02,Mercy,Bello,male,1993-07-13,67616418900.0,08034083790,https://www.commcarehq.org/photos/farmer_14.jpg,11,crop_farming,7,leased,2,borehole,---,groundnuts maize rice,1.2,3.4,1.9,---,---,---,10.4896726 7.5362023 0.0 20.0,yes,1ba16c4f-7d7e-410a-aba2-76d69e3e6d92,2026-06-09 00:06:00,2026-06-09,tester,2026-06-09 00:06:05,https://www.commcarehq.org/form/199d4caa-9656-4eba-873c-35581b76cb56,tester,True
15,90e65ce7-d80a-421d-b2be-e9ae12467a3d,community_07,Blessing,Okafor,female,2002-04-29,,08012343829,https://www.commcarehq.org/photos/farmer_15.jpg,9,mixed_farming,1,leased,2,rain-fed,---,groundnuts rice maize,1.0,0.6,1.0,goats rabbits,23,15,10.3860136 7.3024975 0.0 20.0,yes,67303a66-a625-4cbc-b811-f7b1011cc0d3,2026-06-05 00:06:00,2026-06-05,tester,2026-06-05 00:06:08,https://www.commcarehq.org/form/90e65ce7-d80a-421d-b2be-e9ae12467a3d,tester,True
16,3d5a0895-fdcd-4272-9bf2-13fc1172ec06,community_06,Rebecca,Ahmed,male,2003-09-16,,08093706617,https://www.commcarehq.org/photos/farmer_16.jpg,8,livestock_farming,1,owned,2,rain-fed,---,maize groundnuts rice,2.6,1.1,3.9,---,---,---,10.4829235 7.3741949 0.0 20.0,yes,b802fdc1-1dd2-4f2f-982d-5c1840e570c7,2026-06-16 00:04:00,2026-06-16,tester,2026-06-16 00:04:20,https://www.commcarehq.org/form/3d5a0895-fdcd-4272-9bf2-13fc1172ec06,tester,True
17,a7c59c62-ed01-4e09-afb3-a8b5e4124493,community_03,Joy,Balogun,female,1993-05-26,42000950925.0,08075634343,https://www.commcarehq.org/photos/farmer_17.jpg,5,mixed_farming,5,owned,3,rain-fed,---,maize rice groundnuts,2.2,4.4,2.2,rabbits,---,16,10.3617605 7.2973221 0.0 20.0,yes,4c45b160-dab9-4cb2-b55e-4175698d86c5,2026-04-05 00:05:00,2026-04-05,tester,2026-04-05 00:05:16,https://www.commcarehq.org/form/a7c59c62-ed01-4e09-afb3-a8b5e4124493,tester,True
18,36a99e83-4be6-4b9e-906e-4dff04207e00,community_03,Suleiman,Sani,male,1982-02-06,53776816193.0,08015712479,https://www.commcarehq.org/photos/farmer_18.jpg,7,mixed_farming,10,owned,1,borehole,---,maize,---,0.8,---,goats,11,---,10.2505118 7.5473845 0.0 20.0,yes,77373be8-edc2-43ec-9ffa-79c939c95c6f,2026-01-04 00:06:00,2026-01-04,tester,2026-01-04 00:06:14,https://www.commcarehq.org/form/36a99e83-4be6-4b9e-906e-4dff04207e00,tester,True
19,afe77526-b126-4bf4-bcbf-e89e729cde6d,community_03,Samuel,Johnson,male,2001-05-10,,08040601539,https://www.commcarehq.org/photos/farmer_19.jpg,3,mixed_farming,5,owned,3,irrigation_scheme,---,rice maize,---,2.3,2.7,---,---,---,10.5790361 7.2831152 0.0 20.0,yes,8fa2c0d4-2512-4eb5-bd81-abc14f04646d,2026-06-19 00:02:00,2026-06-19,tester,2026-06-19 00:02:10,https://www.commcarehq.org/form/afe77526-b126-4bf4-bcbf-e89e729cde6d,tester,True
20,6555fdb6-f1f3-4b24-8104-9acbca513333,community_02,Mercy,Bello,male,1986-11-13,49648888517.0,08077469766,https://www.commcarehq.org/photos/farmer_20.jpg,4,mixed_farming,9,family_land,5,rain-fed,---,maize rice groundnuts,1.7,2.3,1.9,goats,19,---,10.2321767 7.2159443 0.0 20.0,yes,80ea3e23-35d4-418f-adef-8e350765783d,2026-03-24 00:06:00,2026-03-24,tester,2026-03-24 00:06:13,https://www.commcarehq.org/form/6555fdb6-f1f3-4b24-8104-9acbca513333,tester,True
21,f6659c8c-6708-474b-8c9d-a093400aaf8b,community_01,Peter,Adeyemi,female,1985-08-01,,08057154294,https://www.commcarehq.org/photos/farmer_21.jpg,6,crop_farming,11,family_land,1,borehole,---,rice maize,---,5.4,2.4,---,---,---,10.3293095 7.5880739 0.0 20.0,yes,7ecc8845-887a-4760-86d8-f3c70ee041b4,2026-05-12 00:08:00,2026-05-12,tester,2026-05-12 00:08:05,https://www.commcarehq.org/form/f6659c8c-6708-474b-8c9d-a093400aaf8b,tester,True
22,8fe27988-988b-41e9-a86e-1ab5401bc735,community_05,Mercy,Ali,male,1990-08-26,,08067259461,https://www.commcarehq.org/photos/farmer_22.jpg,8,crop_farming,18,owned,4,rain-fed,---,rice,---,---,3.4,---,---,---,10.4035488 7.30937 0.0 20.0,yes,643aff25-1b59-415e-a4c7-a42833ed5b25,2026-05-01 00:03:00,2026-05-01,tester,2026-05-01 00:03:19,https://www.commcarehq.org/form/8fe27988-988b-41e9-a86e-1ab5401bc735,tester,True
23,902089dc-dfab-417b-a481-4e8e58935359,community_04,Joseph,Daniel,female,1984-06-06,54731837094.0,08095822594,https://www.commcarehq.org/photos/farmer_23.jpg,4,crop_farming,18,owned,2,other,Rainwater Harvesting,maize groundnuts rice,0.6,5.0,3.0,---,---,---,10.4654755 7.528299 0.0 20.0,yes,09100f87-9622-40dc-9c18-66e1fe1c0d3e,2026-05-07 00:02:00,2026-05-07,tester,2026-05-07 00:02:09,https://www.commcarehq.org/form/902089dc-dfab-417b-a481-4e8e58935359,tester,True
24,ad5f4f50-aab0-4435-9aa3-3c73e9ec081a,community_04,Blessing,Johnson,female,1969-05-25,11962491159.0,08074614936,https://www.commcarehq.org/photos/farmer_24.jpg,2,livestock_farming,25,leased,3,borehole,---,groundnuts rice maize,2.1,6.0,4.0,---,---,---,10.2393773 7.4534991 0.0 20.0,yes,86ecf7ec-768f-4c4c-a53e-116365e7199b,2026-04-24 00:03:00,2026-04-24,tester,2026-04-24 00:03:14,https://www.commcarehq.org/form/ad5f4f50-aab0-4435-9aa3-3c73e9ec081a,tester,True
25,164c8cc2-aeb4-463a-8184-f39ef3834c5b,community_07,Grace,Johnson,female,1990-12-02,68115916826.0,08057108629,https://www.commcarehq.org/photos/farmer_25.jpg,4,crop_farming,1,leased,2,borehole,---,groundnuts,1.6,---,---,goats,20,---,10.5848116 7.4761254 0.0 20.0,yes,f94c0818-8ad3-40b6-93d6-ab21169cc93b,2026-03-19 00:03:00,2026-03-19,tester,2026-03-19 00:03:17,https://www.commcarehq.org/form/164c8cc2-aeb4-463a-8184-f39ef3834c5b,tester,True
26,63a672c9-e58c-44bb-8f9a-0999c1cd63ab,community_06,Mary,Garba,male,1991-07-17,64366683091.0,08025670649,https://www.commcarehq.org/photos/farmer_26.jpg,5,mixed_farming,8,family_land,3,borehole,---,rice groundnuts maize,2.8,4.4,1.6,goats,20,---,10.2525647 7.5638511 0.0 20.0,yes,5a0ebce9-b6ec-4832-9482-47152fa0dde8,2026-04-17 00:03:00,2026-04-17,tester,2026-04-17 00:03:11,https://www.commcarehq.org/form/63a672c9-e58c-44bb-8f9a-0999c1cd63ab,tester,True
27,de879636-b4e7-4dec-ad0c-afc4b03a5d7c,community_01,Mercy,Michael,female,1982-04-19,52118547373.0,08073191987,https://www.commcarehq.org/photos/farmer_27.jpg,6,crop_farming,26,owned,2,rain-fed,---,rice maize groundnuts,2.6,6.1,0.9,goats,2,---,10.5772677 7.3312025 0.0 20.0,yes,aa75b7cc-da8d-458b-a0f1-8509c9bc41b1,2026-06-15 00:02:00,2026-06-15,tester,2026-06-15 00:02:19,https://www.commcarehq.org/form/de879636-b4e7-4dec-ad0c-afc4b03a5d7c,tester,True
28,c02018bd-2723-4d5d-b349-73f34fc3f1d3,community_07,Musa,Ojo,male,2008-02-01,,08012533965,https://www.commcarehq.org/photos/farmer_28.jpg,7,crop_farming,1,family_land,3,dam_reservoir,---,rice,---,---,1.8,goats,9,---,10.2397418 7.4742721 0.0 20.0,yes,968adadc-f237-449b-a77c-4ac6542cd0b8,2026-06-15 00:04:00,2026-06-15,tester,2026-06-15 00:04:06,https://www.commcarehq.org/form/c02018bd-2723-4d5d-b349-73f34fc3f1d3,tester,True
29,6d4fd5d2-0b84-46ad-bc4e-f108b475eddf,community_03,John,James,female,1974-08-09,94350979790.0,08090397285,https://www.commcarehq.org/photos/farmer_29.jpg,7,crop_farming,10,family_land,4,other,Spring Water,groundnuts rice,2.2,---,0.6,goats,9,---,10.2063124 7.306147 0.0 20.0,yes,4fb1316d-0dff-4257-a3fc-0c3c50ac83e8,2026-04-18 00:06:00,2026-04-18,tester,2026-04-18 00:06:08,https://www.commcarehq.org/form/6d4fd5d2-0b84-46ad-bc4e-f108b475eddf,tester,True
30,f1e20be8-2dba-48ff-83e1-dbed7248e906,community_05,Ruth,Ali,female,1984-11-22,95664907881.0,08007854904,https://www.commcarehq.org/photos/farmer_30.jpg,6,mixed_farming,15,owned,1,rain-fed,---,maize,---,4.2,---,---,---,---,10.3523618 7.4389567 0.0 20.0,yes,6e4ef053-9c44-47dc-a81e-a6f46c160c7e,2026-05-10 00:06:00,2026-05-10,tester,2026-05-10 00:06:18,https://www.commcarehq.org/form/f1e20be8-2dba-48ff-83e1-dbed7248e906,tester,True
31,484d2f33-6715-4acf-9cb5-3e023205a92b,community_01,Yusuf,James,female,1978-03-25,43879092961.0,08048373329,https://www.commcarehq.org/photos/farmer_31.jpg,9,crop_farming,4,family_land,2,rain-fed,---,rice maize groundnuts,1.5,5.7,3.8,goats rabbits,25,20,10.440164 7.3406585 0.0 20.0,yes,3b44b75a-0f09-4665-b844-8b89311c7f9a,2026-02-24 00:03:00,2026-02-24,tester,2026-02-24 00:03:20,https://www.commcarehq.org/form/484d2f33-6715-4acf-9cb5-3e023205a92b,tester,True
32,4c3eb22a-3ada-4bfc-8564-2240a16ec795,community_02,Mary,Samuel,female,1991-09-20,94274662027.0,08065666027,https://www.commcarehq.org/photos/farmer_32.jpg,5,crop_farming,13,owned,3,rain-fed,---,rice groundnuts maize,1.5,2.5,1.8,---,---,---,10.4270374 7.2339828 0.0 20.0,yes,e5e4411a-cd63-4528-8f63-3b382d77708b,2026-02-10 00:08:00,2026-02-10,tester,2026-02-10 00:08:06,https://www.commcarehq.org/form/4c3eb22a-3ada-4bfc-8564-2240a16ec795,tester,True
33,6b7becb5-9002-4e92-b686-51c00f905255,community_05,James,Ali,female,1978-12-13,81961932838.0,08014264603,https://www.commcarehq.org/photos/farmer_33.jpg,1,crop_farming,5,family_land,2,rain-fed,---,maize groundnuts rice,1.5,4.7,2.3,---,---,---,10.2288302 7.5447057 0.0 20.0,yes,59635c28-1d82-43a3-b13a-7a490fdd9d9c,2026-01-05 00:05:00,2026-01-05,tester,2026-01-05 00:05:07,https://www.commcarehq.org/form/6b7becb5-9002-4e92-b686-51c00f905255,tester,True
