number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid,farmer_age,registration_duration_minutes,registration_latitude,registration_longitude
1,5daea065-afd1-444e-9b2d-44e33c8747b9,community_05,Amina,Balogun,male,1994-07-28,,8055002657,https://www.commcarehq.org/photos/farmer_1.jpg,8,mixed_farming,13,leased,1,rain-fed,---,groundnuts,2.9,---,---,goats,4,---,10.3435918 7.3375823 0.0 20.0,yes,b444a62e-13c0-4ccd-8ec2-838bb2dfe5bd,2026-01-12 00:07:00,2026-01-12,tester_05,2026-01-12 00:07:19,https://www.commcarehq.org/form/5daea065-afd1-444e-9b2d-44e33c8747b9,tester_05,True,32,7.0,10.3435918,7.3375823
2,d0cf4629-b9a2-4991-af86-259532474a48,community_04,Elizabeth,David,male,1987-01-07,21616047600.0,8002202126,https://www.commcarehq.org/photos/farmer_2.jpg,5,mixed_farming,21,owned,6,rain-fed,---,maize rice,---,6.4,2.7,---,---,---,10.5371408 7.5104 0.0 20.0,yes,12f1f5af-5256-4e18-96cf-f7a1dac16e7d,2026-01-09 00:08:00,2026-01-09,tester_04,2026-01-09 00:08:15,https://www.commcarehq.org/form/d0cf4629-b9a2-4991-af86-259532474a48,tester_04,True,39,8.0,10.5371408,7.5104
3,606344d1-cc32-46d3-b6ce-16e5d3a80216,community_03,Fatima,Daniel,female,1981-03-26,,8039422525,https://www.commcarehq.org/photos/farmer_3.jpg,7,livestock_farming,17,owned,1,rain-fed,---,rice,---,---,2.0,goats,14,---,10.38722 7.3005656 0.0 20.0,yes,0b061fab-6c5b-44bb-90cf-6f440d76f65d,2026-01-03 00:07:00,2026-01-03,tester_03,2026-01-03 00:07:08,https://www.commcarehq.org/form/606344d1-cc32-46d3-b6ce-16e5d3a80216,tester_03,True,45,7.0,10.38722,7.3005656
4,d772635c-2543-44f9-9de5-6cadccf94f19,community_05,Mercy,Lawal,male,1985-02-11,11948728483.0,8098251982,https://www.commcarehq.org/photos/farmer_4.jpg,8,crop_farming,6,owned,3,rain-fed,---,groundnuts rice,2.8,---,3.6,---,---,---,10.2231701 7.5512038 0.0 20.0,yes,e0bd8266-2f5c-49e1-bcce-1dc843a1c529,2026-01-22 00:07:00,2026-01-22,tester_05,2026-01-22 00:07:20,https://www.commcarehq.org/form/d772635c-2543-44f9-9de5-6cadccf94f19,tester_05,True,41,7.0,10.2231701,7.5512038
5,d1ecec10-268b-4b12-be46-0025a7150848,community_06,Emmanuel,Sani,female,2000-09-29,68439875878.0,8099767363,https://www.commcarehq.org/photos/farmer_5.jpg,7,crop_farming,1,owned,1,rain-fed,---,rice groundnuts maize,0.7,0.7,1.7,---,---,---,10.3941658 7.4156936 0.0 20.0,yes,f6d3f342-1621-49ae-826b-6d3a9cfcec86,2026-05-27 00:06:00,2026-05-27,tester_06,2026-05-27 00:06:20,https://www.commcarehq.org/form/d1ecec10-268b-4b12-be46-0025a7150848,tester_06,True,25,6.0,10.3941658,7.4156936
6,6516f940-92da-432d-b500-6a5b87ab8031,community_02,Ruth,Abdullahi,male,1997-11-30,71895212988.0,8080660781,https://www.commcarehq.org/photos/farmer_6.jpg,4,crop_farming,5,owned,1,river_stream,---,groundnuts rice maize,2.9,6.1,3.5,goats,17,---,10.5458602 7.5609771 0.0 20.0,yes,499e45bb-5c7e-4b03-ab4e-9329bdd4ebaa,2026-01-01 00:05:00,2026-01-01,tester_02,2026-01-01 00:05:13,https://www.commcarehq.org/form/6516f940-92da-432d-b500-6a5b87ab8031,tester_02,True,28,5.0,10.5458602,7.5609771
7,bf7c0453-f2aa-436b-bc07-ea5320795a40,community_07,Paul,Ali,male,1977-08-09,,8012955705,https://www.commcarehq.org/photos/farmer_7.jpg,7,crop_farming,17,owned,4,borehole,---,maize,---,1.2,---,---,---,---,10.4378077 7.4477526 0.0 20.0,yes,c7dadbe9-1811-4547-b9eb-916c498cb66c,2026-05-30 00:06:00,2026-05-30,tester_07,2026-05-30 00:06:15,https://www.commcarehq.org/form/bf7c0453-f2aa-436b-bc07-ea5320795a40,tester_07,True,49,6.0,10.4378077,7.4477526
8,c4a4a4ef-9016-4412-b701-6e2cfc398154,community_07,John,Adeyemi,female,1990-05-04,,8023704990,https://www.commcarehq.org/photos/farmer_8.jpg,4,crop_farming,3,leased,2,rain-fed,---,rice maize groundnuts,2.2,3.8,3.8,goats,6,---,10.5558851 7.4969667 0.0 20.0,yes,57ce2989-ae55-4b5e-a1ca-99ea4908e4ca,2026-03-14 00:06:00,2026-03-14,tester_07,2026-03-14 00:06:11,https://www.commcarehq.org/form/c4a4a4ef-9016-4412-b701-6e2cfc398154,tester_07,True,36,6.0,10.5558851,7.4969667
9,aa2d2643-f9dc-4968-9a1a-609b27a1c38e,community_05,John,Adeyemi,female,1989-03-04,,8080420762,https://www.commcarehq.org/photos/farmer_9.jpg,8,mixed_farming,4,owned,3,rain-fed,---,rice groundnuts,1.6,---,0.6,goats,3,---,10.2840306 7.2998119 0.0 20.0,yes,fa171e98-9225-46a9-96bd-76f3bd5f1d6a,2026-05-24 00:08:00,2026-05-24,tester_05,2026-05-24 00:08:18,https://www.commcarehq.org/form/aa2d2643-f9dc-4968-9a1a-609b27a1c38e,tester_05,True,37,8.0,10.2840306,7.2998119
10,c50632f1-8c74-4141-bcb0-757e4bd3c702,community_07,Suleiman,Peter,female,1994-04-10,,8007398882,https://www.commcarehq.org/photos/farmer_10.jpg,1,crop_farming,14,leased,2,borehole,---,groundnuts,0.6,---,---,goats,12,---,10.2277683 7.5093307 0.0 20.0,yes,eb2ccea0-0dec-472e-b456-e68a3a68eb81,2026-05-11 00:05:00,2026-05-11,tester_07,2026-05-11 00:05:15,https://www.commcarehq.org/form/c50632f1-8c74-4141-bcb0-757e4bd3c702,tester_07,True,32,5.0,10.2277683,7.5093307
